model,RMSE,MAE,R2
RandomForest,3.645380666186741,2.5722446628112534,0.9214490402949462
GradientBoosting,4.4413385788812185,3.2881457713774895,0.883401359128899
LinearRegression,5.7662862630293255,4.240259353751897,0.8034567553879046
